step,left_pos_err_m,left_rot_err_deg,right_pos_err_m,right_rot_err_deg,left_joint_track_err,right_joint_track_err,left_near_limit_ratio,right_near_limit_ratio
0,0.03746093365445333,115.74749244651709,0.13286206005534273,51.34395223276975,0.07528078556060791,0.17873050272464752,0.1428571492433548,0.0
1,0.030905251138941936,115.49428979128089,0.1010394495077408,57.97104915281024,0.06753333657979965,0.1632491648197174,0.1428571492433548,0.0
2,0.04034859397531679,113.70238227870662,0.08820143836882302,65.13899755218355,0.0711868554353714,0.17478086054325104,0.2857142984867096,0.0
3,0.056338080097097606,111.95955644489746,0.0930776224330444,69.60530175633929,0.0763198584318161,0.19515357911586761,0.2857142984867096,0.0
4,0.06883539633585545,110.57521748235018,0.10954316183730202,71.73326020061923,0.08084066957235336,0.20009511709213257,0.2857142984867096,0.0
5,0.07428061657872916,110.6333320566215,0.13345516692727735,73.03554038125446,0.0882122591137886,0.22429384291172028,0.2857142984867096,0.1428571492433548
6,0.07603554085788956,112.03956067217142,0.15841642873864034,74.30626179339076,0.09910496324300766,0.22393232583999634,0.2857142984867096,0.2857142984867096
7,0.08172498488918642,113.7245985604735,0.16365058996362175,79.00069719116529,0.11962662637233734,0.1164063960313797,0.2857142984867096,0.1428571492433548
8,0.09674583729236992,115.38746054527789,0.1410036246384327,93.26004508142584,0.15498967468738556,0.09694311022758484,0.2857142984867096,0.1428571492433548
9,0.09999555667717229,116.70852022062766,0.11580072170290424,84.93423910787729,0.07671146839857101,0.17727090418338776,0.2857142984867096,0.1428571492433548
10,0.08582876588408633,113.80607104602018,0.08399314505127195,110.55373754129009,0.16101381182670593,0.11667139083147049,0.1428571492433548,0.1428571492433548
11,0.07039082129131508,115.61818256554895,0.0534102684094381,96.3796351682347,0.08823153376579285,0.2671797275543213,0.1428571492433548,0.1428571492433548
12,0.06922075960340987,113.73545471316375,0.03161836502498445,110.23756120745077,0.20206519961357117,0.11584755778312683,0.1428571492433548,0.1428571492433548
13,0.0889731770043425,114.88831564502443,0.02501048688529126,93.26053822354662,0.09278973191976547,0.24827897548675537,0.1428571492433548,0.1428571492433548
14,0.1076723295528187,114.65810576679594,0.027050620846945834,97.82362582417953,0.13843484222888947,0.08278971165418625,0.1428571492433548,0.1428571492433548
15,0.12110649269339689,115.13497012105017,0.03141904077114476,94.76867008906775,0.06422670185565948,0.18958880007266998,0.1428571492433548,0.1428571492433548
16,0.10326737352771921,115.95150222235723,0.029720872858866914,90.48998313293119,0.07308820635080338,0.06668039411306381,0.0,0.1428571492433548
17,0.06322822471745211,116.17673723704216,0.02678405031640466,92.6396486300686,0.03672689199447632,0.17048214375972748,0.0,0.1428571492433548
18,0.02128984720295003,114.70181773471022,0.023906070374855405,94.35934619786072,0.09330729395151138,0.07662775367498398,0.0,0.1428571492433548
19,0.034561866880329785,113.98870862274195,0.025759785065035377,97.36362057789786,0.17056997120380402,0.1866564154624939,0.0,0.1428571492433548
20,0.05395406009504923,111.86704504956272,0.025362291722026045,97.7094368985905,0.12602904438972473,0.09218477457761765,0.1428571492433548,0.1428571492433548
21,0.062572705365026,110.41731448290493,0.02540611279545384,99.44705221162968,0.17433030903339386,0.1987552046775818,0.1428571492433548,0.1428571492433548
22,0.06433731047204203,109.42433021940015,0.024131942419102558,98.13920324657127,0.1475718468427658,0.0963464304804802,0.1428571492433548,0.1428571492433548
23,0.06088186183101583,108.70240093272989,0.0234389357209828,98.8677279110695,0.17514437437057495,0.2078254371881485,0.1428571492433548,0.1428571492433548
24,0.05915386146213407,108.91105659419006,0.025297420762927975,96.65194123849915,0.16541093587875366,0.10391434282064438,0.1428571492433548,0.1428571492433548
25,0.060974404223631734,108.60856743312804,0.03047770537287321,96.46151607064787,0.1739305853843689,0.2208538055419922,0.1428571492433548,0.1428571492433548
26,0.06793613285561566,108.71738963131119,0.03775938042732878,94.42844203397581,0.16839998960494995,0.11618258059024811,0.1428571492433548,0.1428571492433548
27,0.07723022650567284,109.01945327581963,0.04557544599556547,94.28082998372774,0.1497230976819992,0.2460384964942932,0.1428571492433548,0.2857142984867096
28,0.09064842300068411,109.32350527402376,0.05517004811961268,93.47529950177146,0.14825153350830078,0.13629184663295746,0.1428571492433548,0.2857142984867096
29,0.09258766501905315,110.17657668338248,0.06440921287455119,93.02647732328028,0.10602013021707535,0.28100690245628357,0.1428571492433548,0.2857142984867096
30,0.08661959461642665,110.96696594557694,0.07526337731535301,92.04678379350536,0.11854623258113861,0.15110830962657928,0.1428571492433548,0.2857142984867096
31,0.07733923796030555,112.65458655704354,0.08403376129443062,91.30270390767936,0.10632184892892838,0.3015865087509155,0.1428571492433548,0.2857142984867096
32,0.06764308916811952,112.97476626922648,0.09324455576141442,89.2772307536994,0.12211605906486511,0.15690135955810547,0.1428571492433548,0.2857142984867096
33,0.05623413665575096,114.59176668721287,0.10134916006671993,88.68648413991208,0.11831222474575043,0.3071973919868469,0.1428571492433548,0.2857142984867096
34,0.048689067362864484,114.30036605683298,0.10830510462437773,85.81672833642499,0.12305471301078796,0.1604463905096054,0.1428571492433548,0.1428571492433548
35,0.04071985262151004,115.54312044300407,0.11417941979065152,86.6554352044993,0.12110050022602081,0.3151179552078247,0.1428571492433548,0.1428571492433548
36,0.037215105047978946,114.53413154540023,0.1210189898177646,85.6939210211344,0.12225926667451859,0.16507741808891296,0.1428571492433548,0.1428571492433548
37,0.03295037866721642,114.83342706996034,0.1269289231883774,89.69086842937664,0.12423641234636307,0.34321480989456177,0.1428571492433548,0.1428571492433548
38,0.032489694360544254,113.42963697277439,0.13248023291636768,89.69370918812481,0.12596523761749268,0.18480347096920013,0.1428571492433548,0.1428571492433548
39,0.03075466995184283,114.26145954235484,0.13633165834992844,93.0688019285074,0.12569445371627808,0.40178197622299194,0.1428571492433548,0.1428571492433548
40,0.03281270906072846,113.26240756216643,0.1392156970454537,90.94673001975205,0.127328023314476,0.21818162500858307,0.1428571492433548,0.1428571492433548
41,0.03402968702904243,113.84267901413415,0.13983575116069683,94.35141544668458,0.12488299608230591,0.4819599688053131,0.1428571492433548,0.1428571492433548
42,0.03793809323861118,113.18396416155505,0.1386477371775363,89.4555571032496,0.12720957398414612,0.2589879035949707,0.1428571492433548,0.1428571492433548
