step,left_pos_err_m,left_rot_err_deg,right_pos_err_m,right_rot_err_deg,left_joint_track_err,right_joint_track_err,left_near_limit_ratio,right_near_limit_ratio,left_near_limit_count,right_near_limit_count,left_worst_joint,left_worst_side,left_min_margin_rad,right_worst_joint,right_worst_side,right_min_margin_rad,left_joint_margin_rad_list,right_joint_margin_rad_list,ik_ignore_orientation,ik_active_arm,pushbox_guidance_enabled,pushbox_stuck,pushbox_box_goal_dist_xy,pushbox_box_move_xy_window,pushbox_guidance_xy_norm
0,0.6880802022316279,68.12158701228559,0.15366637712018288,74.49293912481708,0.0021683573722839355,0.23519515991210938,0.0,0.0,0,0,left_arm_joint3,upper,0.01642584800720215,right_arm_joint4,lower,0.1267716884613037,0.797440;1.201008;0.016426;1.264345;0.659654;0.550223;1.577272,0.380457;0.176420;2.562355;0.126772;0.155792;0.498877;1.061685,1,right,1,0,0.4874106063725326,0.0,0.011999999999999992
1,0.6959748213107245,69.13682498574072,0.16486465408612633,84.11281879921327,0.002083803992718458,0.14517152309417725,0.0,0.0,0,0,left_arm_joint3,upper,0.016324996948242188,right_arm_joint4,lower,0.19123578071594238,0.797221;1.203435;0.016325;1.266335;0.657591;0.547875;1.582712,0.366623;0.262301;2.474991;0.191236;0.239227;0.360038;1.210612,1,right,1,0,0.4874106063725326,0.0,0.012000000000000012
2,0.7016020129969145,69.69563479477227,0.1894488444794255,100.7048450843014,0.001984392059966922,0.06166355311870575,0.0,0.0,0,0,left_arm_joint3,upper,0.016326427459716797,right_arm_joint6,upper,0.23021411895751953,0.796938;1.205862;0.016326;1.268343;0.655503;0.545583;1.587502,0.351233;0.349709;2.389755;0.243855;0.283097;0.230214;1.309069,1,right,1,0,0.4874106063725326,0.0,0.011999999999999999
3,0.7033140272950801,70.27091144180562,0.2030434344629382,114.81393277934517,0.0020860605873167515,0.02414870448410511,0.0,0.0,0,0,left_arm_joint3,upper,0.016223669052124023,right_arm_joint6,upper,0.16535043716430664,0.796703;1.208301;0.016224;1.270354;0.653405;0.543272;1.592908,0.338741;0.421275;2.338717;0.268944;0.306518;0.165350;1.358703,1,right,1,0,0.4874106063725326,0.0,0.01200000000000001
4,0.7042502118822144,70.35404606303722,0.2083946385287413,117.05415685627536,0.002089636866003275,0.01753443479537964,0.0,0.0,0,0,left_arm_joint3,upper,0.016133785247802734,right_arm_joint6,upper,0.13233280181884766,0.796456;1.210753;0.016134;1.272371;0.651296;0.540968;1.598316,0.325863;0.468777;2.303483;0.270746;0.325026;0.132333;1.387206,1,right,1,0,0.4874106063725326,0.0,0.012000000000000028
5,0.7045260183386246,70.17213717324884,0.20908468790894283,117.12096572523357,0.002282296074554324,0.014872441068291664,0.0,0.0,0,0,left_arm_joint3,upper,0.015981197357177734,right_arm_joint6,upper,0.10973596572875977,0.796207;1.213229;0.015981;1.274368;0.649126;0.538521;1.604801,0.314706;0.506536;2.275373;0.264865;0.338866;0.109736;1.407790,1,right,1,0,0.4874106063725326,0.0,0.012000000000000021
6,0.7046884542680929,70.0685990195504,0.20872902789723133,117.111421168916,0.002224820200353861,0.011931871064007282,0.0,0.0,0,0,left_arm_joint3,upper,0.01595902442932129,right_arm_joint6,upper,0.09010028839111328,0.795954;1.215770;0.015959;1.276284;0.647016;0.536215;1.611226,0.305311;0.536947;2.253026;0.260098;0.348768;0.090100;1.424415,1,right,1,0,0.4898770939587238,0.0,0.011999999999999972
7,0.7062200292288529,70.24195219033798,0.20895249025258786,110.96715106848511,0.000831655110232532,0.009868323802947998,0.0,0.0,0,0,left_arm_joint3,upper,0.01609063148498535,right_arm_joint6,upper,0.07414388656616211,0.796178;1.216589;0.016091;1.276991;0.646030;0.535409;1.613374,0.297753;0.561625;2.235055;0.255960;0.355971;0.074144;1.437474,1,right,1,0,0.4946460793733068,0.0,0.012000000000000009
8,0.707670720274137,70.63224039859004,0.2088660787460789,103.16217225814437,0.00022345782781485468,0.008662683889269829,0.0,0.0,0,0,left_arm_joint3,upper,0.016331195831298828,right_arm_joint6,upper,0.05991935729980469,0.796619;1.216519;0.016331;1.276972;0.645628;0.535366;1.613722,0.291928;0.582300;2.219304;0.253081;0.362019;0.059919;1.448838,1,right,1,0,0.4985597564208458,0.0,0.012000000000000002
9,0.7089965554857092,70.69505746208917,0.20881727891683244,84.42366547614864,0.00022608894505538046,0.006475644651800394,0.0,0.0,0,0,left_arm_joint3,upper,0.01658177375793457,right_arm_joint6,upper,0.04882240295410156,0.797078;1.216445;0.016582;1.276953;0.645228;0.535326;1.614062,0.288363;0.598243;2.207958;0.251320;0.364927;0.048822;1.457168,1,right,1,0,0.5015634908200743,0.0,0.01199999999999998
10,0.7104698539316192,70.80968361865452,0.20897259254546807,77.70307161249865,0.0002232619735877961,0.00516378041356802,0.0,0.0,0,0,left_arm_joint3,upper,0.0168306827545166,right_arm_joint6,upper,0.040402889251708984,0.797534;1.216370;0.016831;1.276930;0.644838;0.535283;1.614391,0.286713;0.610165;2.199018;0.250065;0.366742;0.040403;1.463330,1,right,1,0,0.5035968870919014,0.0,0.011999999999999993
11,0.7120714741104873,70.94249388186658,0.2090291412198009,72.98066409806384,0.0002233130653621629,0.005038125440478325,0.0,0.0,0,0,left_arm_joint3,upper,0.017078638076782227,right_arm_joint6,upper,0.03266763687133789,0.797991;1.216297;0.017079;1.276910;0.644448;0.535238;1.614720,0.285956;0.620631;2.189918;0.249131;0.369147;0.032668;1.469106,1,right,1,0,0.5047835735616187,0.0,0.012000000000000012
12,0.7135898591739643,71.30083583143139,0.20892305882797702,68.94797861787416,0.00022366218036040664,0.005926907528191805,0.0,0.0,0,0,left_arm_joint3,upper,0.017324447631835938,right_arm_joint6,upper,0.023266315460205078,0.798448;1.216223;0.017324;1.276888;0.644058;0.535187;1.615047,0.285061;0.632035;2.178403;0.249228;0.373694;0.023266;1.476427,1,right,1,0,0.5053374875858713,0.0,0.011999999999999988
13,0.7158262199441169,71.47766418095941,0.20996929693268412,76.86464598840507,0.0002233386185253039,0.011616724543273449,0.0,0.0,0,0,left_arm_joint3,upper,0.01757025718688965,right_arm_joint6,upper,0.010024070739746094,0.798906;1.216149;0.017570;1.276866;0.643670;0.535134;1.615368,0.279171;0.652393;2.154826;0.246207;0.387992;0.010024;1.489140,1,right,1,0,0.5054545524298237,0.0,0.011999999999999997
14,0.7166397781408032,71.59427442912099,0.2086916934273335,87.4281435534067,0.00022283622820395976,0.015569295734167099,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.01781773567199707,right_arm_joint6,upper,0.004397869110107422,0.799366;1.216075;0.017818;1.276844;0.643284;0.535083;1.615688,0.269568;0.679229;2.125902;0.241567;0.403889;0.004398;1.504847,1,right,1,0,0.507715350485944,0.0,0.012000000000000005
15,0.7174135966718627,71.40760256983698,0.2066379479573131,129.81104001744262,0.00022344078752212226,0.019379276782274246,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.018063068389892578,right_arm_joint6,upper,0.0022783279418945312,0.799825;1.216001;0.018063;1.276822;0.642897;0.535027;1.616007,0.256533;0.710760;2.094974;0.236913;0.416984;0.002278;1.524616,1,right,1,0,0.5099001149457462,0.0,0.012000000000000004
16,0.717483895351015,71.15223140733853,0.20360143204727607,132.46945328005242,0.00022261484991759062,0.02288542501628399,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.018309593200683594,right_arm_joint6,upper,0.0019865036010742188,0.800285;1.215927;0.018310;1.276799;0.642511;0.534969;1.616320,0.242300;0.744804;2.062182;0.236374;0.428194;0.001987;1.549078,1,right,1,0,0.5116952481762393,0.0,0.011999999999999997
17,0.7174092127486965,71.08845551189815,0.20078955737166787,136.12083267125678,0.0002233130653621629,0.026752175763249397,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.01855611801147461,right_arm_joint6,upper,0.002349376678466797,0.800745;1.215852;0.018556;1.276776;0.642127;0.534911;1.616635,0.225698;0.781132;2.031379;0.236397;0.432679;0.002349;1.577264,1,right,1,0,0.5151195966113234,0.0,0.012000000000000012
18,0.7171098623381428,71.0483009139296,0.1985554699770739,139.7390040552614,0.0002227085060440004,0.02911241725087166,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.018801212310791016,right_arm_joint6,upper,0.002396106719970703,0.801206;1.215779;0.018801;1.276754;0.641742;0.534848;1.616946,0.207928;0.817777;2.002419;0.240026;0.432500;0.002396;1.608169,1,right,1,0,0.5167094379294048,0.0,0.011999999999999997
19,0.71665608762161,70.9302244178446,0.1966090033487256,142.96735180675017,0.00022383248142432421,0.030123312026262283,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.019046545028686523,right_arm_joint6,upper,0.0019106864929199219,0.801667;1.215705;0.019047;1.276732;0.641355;0.534788;1.617263,0.190093;0.853095;1.975303;0.246878;0.428579;0.001911;1.640234,1,right,1,0,0.5172775791403079,0.04549044585496947,0.012000000000000007
20,0.7163702193586711,70.79383495315331,0.19526912184013182,145.7144235258453,0.00022362812887877226,0.029800500720739365,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.019290685653686523,right_arm_joint6,upper,0.0017819404602050781,0.802129;1.215631;0.019291;1.276710;0.640969;0.534727;1.617579,0.173869;0.886468;1.949218;0.255777;0.422797;0.001782;1.671758,1,right,1,0,0.5173757992850514,0.04572784769773711,0.011999999999999995
21,0.7162126015055986,70.63278371060925,0.19604673861879493,148.17305038520925,0.00022092887957114726,0.026891879737377167,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.019532203674316406,right_arm_joint6,upper,0.0018858909606933594,0.802586;1.215565;0.019532;1.276700;0.640595;0.534666;1.617916,0.158853;0.917813;1.923515;0.274022;0.424510;0.001886;1.702739,1,right,1,0,0.51739857946776,0.04577222610385722,0.011999999999999969
22,0.7156556049650227,70.40095868275718,0.19869511900091041,150.51963786856186,0.00022561210789717734,0.023166606202721596,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.019780397415161133,right_arm_joint6,upper,0.0010576248168945312,0.803055;1.215493;0.019780;1.276683;0.640207;0.534608;1.618244,0.137445;0.950317;1.899272;0.294202;0.426740;0.001058;1.730004,1,right,1,0,0.5199601360785717,0.04828081350474418,0.01200000000000002
23,0.715339779074718,70.19477681825363,0.20035595398480893,152.47437330420726,0.00022493090364150703,0.020803606137633324,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.020026445388793945,right_arm_joint6,upper,0.0007195472717285156,0.803519;1.215421;0.020026;1.276667;0.639821;0.534548;1.618575,0.111262;0.983414;1.875367;0.303993;0.426996;0.000720;1.751069,1,right,1,0,0.5243636710588543,0.05272572065638296,0.011999999999999999
24,0.7152133226824822,70.25387491293358,0.20121402880328318,154.60201978336605,0.00022491387790068984,0.01991107687354088,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.02027297019958496,right_arm_joint6,upper,0.0005850791931152344,0.803985;1.215351;0.020273;1.276653;0.639437;0.534487;1.618908,0.083574;1.016117;1.850213;0.309476;0.428118;0.000585;1.768970,1,right,1,0,0.5281413071933359,0.056641773343724985,0.012000000000000009
25,0.7151417498189616,70.40333038592259,0.20124727323959382,156.75031409481525,0.00022573983005713671,0.020908160135149956,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.020519256591796875,right_arm_joint6,upper,0.0005459785461425781,0.804452;1.215282;0.020519;1.276642;0.639054;0.534427;1.619250,0.054314;1.049804;1.821571;0.314256;0.431593;0.000546;1.786379,1,right,1,0,0.5307605167898136,0.05612191252618114,0.011999999999999985
26,0.7144019989320479,70.43177408047544,0.20037432734635371,158.64905230557343,0.00022498199541587383,0.022342052310705185,0.0,0.1428571492433548,0,1,left_arm_joint3,upper,0.0207672119140625,right_arm_joint6,upper,0.0005507469177246094,0.804919;1.215211;0.020767;1.276627;0.638669;0.534367;1.619580,0.027592;1.084246;1.790602;0.320177;0.436474;0.000551;1.803786,1,right,1,0,0.5321266695643949,0.051464972284118164,0.011999999999999988
